region,weather_station,year,yield_tonnes,planting_temp_mean,planting_temp_max_mean,planting_temp_min_mean,planting_heat_stress_days,planting_frost_days,planting_GDD,planting_total_rain,planting_rainy_days,planting_dry_days,planting_max_dry_streak,planting_humidity_mean,planting_wind_mean,planting_et0_total,growing_temp_mean,growing_temp_max_mean,growing_temp_min_mean,growing_heat_stress_days,growing_frost_days,growing_GDD,growing_total_rain,growing_rainy_days,growing_dry_days,growing_max_dry_streak,growing_humidity_mean,growing_wind_mean,growing_et0_total,boll_forming_temp_mean,boll_forming_temp_max_mean,boll_forming_temp_min_mean,boll_forming_heat_stress_days,boll_forming_frost_days,boll_forming_GDD,boll_forming_total_rain,boll_forming_rainy_days,boll_forming_dry_days,boll_forming_max_dry_streak,boll_forming_humidity_mean,boll_forming_wind_mean,boll_forming_et0_total,harvest_temp_mean,harvest_temp_max_mean,harvest_temp_min_mean,harvest_heat_stress_days,harvest_frost_days,harvest_GDD,harvest_total_rain,harvest_rainy_days,harvest_dry_days,harvest_max_dry_streak,harvest_humidity_mean,harvest_wind_mean,harvest_et0_total,planting_risk_score,growing_risk_score,boll_risk_score,harvest_risk_score,overall_risk_score,yield_deviation,overall_risk_label,planting_risk_label,growing_risk_label,boll_risk_label,harvest_risk_label
Agdash district,Ganja,2000,6.9,9.950121,15.405073,4.436221,0,17,10.859498023986816,102.90001,19,42,12,67.60467,10.243987,178.3074,22.318346,27.358606,16.715921,6,0,838.765962600708,188.2,35,87,27,58.87966,12.507398,627.48987,22.190422,26.474747,17.70835,1,0,410.601478099823,69.90001,21,40,18,64.27522,12.043126,245.08319,12.194329,15.828513,9.047193,0,2,118.8704891204834,125.49999,32,59,18,78.2265,8.906439,159.42242,46.99919509887695,25.13313044139317,84.05764961242676,82.2109146118164,54.6520635168893,-1.0730742258965664,1,1,0,0,1
Agdash district,Ganja,2001,9.3,10.745816,15.59114,5.815729,0,1,3.7539992332458496,173.70001,33,28,4,73.89401,10.665369,160.21638,21.418364,26.17649,16.169987,0,0,712.9474587440491,241.0,48,74,13,64.37073,11.966609,582.3491,21.917538,26.575563,17.16327,0,0,391.3159785270691,75.3,19,41,10,64.44401,11.784487,250.592,13.018436,17.55928,8.981257,0,10,137.517991065979,79.4,22,67,10,69.36884,9.536682,199.36378,24.194557189941406,14.924055634226118,84.16830253601074,88.16364059448242,48.07384268215724,-0.6350063234714685,1,0,0,0,1
Agdash district,Ganja,2002,19.8,8.963509,13.273106,4.704254,0,4,0.0,165.0,31,29,5,74.03964,11.041138,138.90828,20.371698,24.770393,15.597223,0,0,643.4039602279663,396.8,67,54,8,69.07095,11.717817,524.00037,21.58974,26.050156,17.122286,0,0,371.25947856903076,151.1,30,30,8,69.82747,10.59405,225.80519,14.502503,19.31972,10.235653,0,2,183.30648708343506,67.9,20,70,18,72.27679,8.868624,202.98253,43.57661056518555,16.258373417173114,76.09163284301758,70.76103019714355,46.48148533412389,1.2815407496383349,0,1,0,0,0
Agdash district,Ganja,2003,14.5,5.7543225,10.073928,1.4501555,0,21,0.0,163.7,27,34,5,77.54065,9.617107,126.04355,20.670158,25.122425,15.861859,0,0,636.8134608268738,223.59999,46,76,7,67.5696,10.747326,532.9391,20.856607,25.280483,16.325567,0,0,326.60798025131226,68.6,18,43,9,66.27054,10.841828,230.27841,13.38263,17.571367,9.555984,0,3,110.58398342132568,125.90001,32,59,8,73.788315,9.3627405,184.83257,60.0,16.15932695865631,82.74687194824219,82.88342475891113,52.72030608177185,0.3141407984495768,0,1,0,0,1
Agdash district,Ganja,2004,14.4,8.932568,13.846058,4.000975,0,17,2.1184988021850586,119.59999,23,37,13,70.74912,10.03011,158.0899,20.848747,25.524868,15.746004,0,0,659.5369696617126,254.4,56,65,10,66.33182,11.976165,555.6182,21.399815,26.41573,16.346058,0,0,363.0514817237854,85.3,19,41,14,65.92511,11.364375,245.65152,13.180342,17.766973,9.046094,0,7,109.36398983001709,126.3,25,66,15,72.88707,8.980267,185.38338,53.78288269042969,16.308865802628652,83.99287414550781,92.5123233795166,53.66568947519575,0.29588796918186444,0,1,0,0,1
Agdash district,Ganja,2005,15.1,8.771364,13.755074,3.7722867,0,13,13.301497459411621,125.8,23,38,10,71.68077,10.437515,157.08849,21.588398,26.086246,16.628933,0,0,739.9884600639343,243.60002,40,79,11,65.73018,11.330785,552.93585,21.759443,26.032944,17.542778,0,0,383.5594811439514,103.80001,26,34,6,67.51254,10.234286,226.74551,13.1182785,17.360928,9.426863,0,3,126.45098781585693,157.3,35,53,9,75.217026,8.76538,180.29152,54.85757064819336,12.714862711088998,79.07274436950684,83.47171592712402,49.55716138158526,0.4236577740558512,0,1,0,0,1
Agdash district,Ganja,2006,15.5,9.910402,14.514911,5.3796635,0,4,8.857999324798584,108.9,26,35,8,74.74653,10.2269945,146.60434,23.007437,28.202505,17.224052,4,0,903.59246301651,208.1,30,92,29,62.010227,11.581348,621.07935,23.00873,28.326384,17.407536,4,0,452.0764846801758,66.2,13,48,29,60.87072,11.341378,270.27652,13.183021,17.27082,9.514774,0,10,131.486487865448,146.7,28,62,15,74.59264,9.071581,181.80823,37.26398277282715,19.42857142857143,86.08993148803711,95.7146167755127,53.54519795009068,0.49666909112670093,0,1,0,1,1
Agdash district,Ganja,2007,15.5,6.915423,11.105075,2.861631,0,11,0.0,179.6,31,28,4,75.97715,10.79698,126.69301,21.513975,26.213484,16.343973,0,0,728.7699599266052,310.19998,55,65,12,67.53715,11.593963,548.6259,22.393528,27.192781,17.518188,0,0,419.95548009872437,57.4,14,46,12,63.621952,12.018981,250.92863,13.725033,18.070269,9.852138,0,7,176.9089870452881,140.90001,25,66,17,72.647865,9.903081,194.8012,60.0,13.70435914652688,84.84573554992676,92.41382789611816,53.7975385080065,0.49666909112670093,0,1,0,0,1
Agdash district,Ganja,2008,6.9,12.670203,18.313272,6.833762,0,4,37.042494773864746,124.49999,23,35,7,69.29626,10.831573,191.05685,20.845037,25.221615,16.13462,0,0,677.7054681777954,332.6,59,61,16,67.85301,12.1618595,540.24774,21.746403,26.082125,17.353436,0,0,385.35148429870605,128.8,21,39,16,66.903694,11.857562,232.7426,13.289385,17.346094,9.645543,0,1,128.84298944473267,119.20001,26,65,20,76.21229,9.425612,175.41539,18.86531162261963,17.971869448253088,82.87672233581543,78.88152885437012,46.71379055159433,-1.0730742258965664,1,0,0,0,1
Agdash district,Ganja,2009,11.8,7.8295956,12.769007,2.851795,0,11,0.0,126.9,23,38,13,69.67737,10.5554695,153.02226,20.964212,25.611042,15.793565,0,0,655.7159662246704,332.6,56,66,13,65.0661,11.656524,563.1912,19.256098,23.381302,15.152614,0,0,243.42247819900513,189.10004,25,35,12,70.53437,10.331967,209.51328,13.541858,17.467522,9.946094,0,4,84.48248672485352,173.0,25,65,18,77.487274,8.883539,178.76295,60.0,17.785630260195052,75.72072982788086,86.90652465820312,51.866449751172745,-0.17868559177865817,0,1,0,0,1
