date,temp_mean,temp_min,temp_max,precipitation,humidity_mean,wind_speed,et0,sunshine,region,year,month,day
2000-01-01,4.4876666,-0.82900006,13.1710005,0.0,76.62302,6.151683,1.1264833,31609.576,Aghdam district,2000,1,1
2000-01-02,5.8001666,-0.32900006,14.471001,0.0,72.74625,5.95906,1.1648903,30873.37,Aghdam district,2000,1,2
2000-01-03,4.01475,0.471,8.1710005,0.0,81.673225,6.849467,0.5181629,4150.8237,Aghdam district,2000,1,3
2000-01-04,4.2418337,-0.12900001,7.4709997,5.8,89.60803,6.519877,0.6821265,28775.055,Aghdam district,2000,1,4
2000-01-05,3.4147503,2.621,4.321,7.5999994,93.79179,7.8954163,0.35018814,0.0,Aghdam district,2000,1,5
2000-01-06,2.7855828,1.871,4.371,7.2999997,94.64382,9.931042,0.37111253,5942.0405,Aghdam district,2000,1,6
2000-01-07,3.1251662,-1.279,7.121,0.3,87.214745,9.693296,0.83913136,29933.26,Aghdam district,2000,1,7
2000-01-08,2.4626665,-0.47900003,5.021,0.0,89.821144,6.8399997,0.56323665,22039.402,Aghdam district,2000,1,8
2000-01-09,0.82308334,-3.079,5.5709996,0.0,82.807106,5.5887027,0.74548227,30977.51,Aghdam district,2000,1,9
2000-01-10,0.65016675,-3.7289999,5.7209997,0.0,76.54886,6.725354,0.87038684,33225.574,Aghdam district,2000,1,10
2000-01-11,1.5689167,-2.529,4.4709997,5.2999997,86.272484,7.2805495,0.5571214,22467.68,Aghdam district,2000,1,11
2000-01-12,1.1668334,-0.72900003,2.721,2.2,88.86135,9.726664,0.5661097,22087.846,Aghdam district,2000,1,12
2000-01-13,-0.6269167,-4.479,2.421,0.0,78.74622,7.386582,0.71811974,23782.336,Aghdam district,2000,1,13
2000-01-14,-1.1185833,-7.879,2.871,0.0,77.29159,7.5170207,0.7732142,30215.07,Aghdam district,2000,1,14
2000-01-15,-0.7102501,-2.279,0.971,3.1000001,88.367485,7.5942073,0.51000977,7732.3857,Aghdam district,2000,1,15
2000-01-16,-3.5935833,-12.879,0.521,3.8999999,90.67648,8.225035,0.47468942,0.0,Aghdam district,2000,1,16
2000-01-17,-8.4435835,-13.929,1.321,0.0,73.83434,9.360001,0.8930838,34259.01,Aghdam district,2000,1,17
2000-01-18,-6.820666,-14.278999,3.671,0.0,68.56608,9.0,0.94449955,33875.047,Aghdam district,2000,1,18
2000-01-19,-3.1519167,-11.179,7.121,0.0,72.003914,9.107359,1.0321443,34447.8,Aghdam district,2000,1,19
2000-01-20,-1.1102501,-7.529,4.9709997,0.0,74.77488,9.178235,1.041897,34546.875,Aghdam district,2000,1,20
2000-01-21,-1.6060833,-8.5789995,1.671,7.3,85.59545,8.435069,0.47984976,7411.424,Aghdam district,2000,1,21
2000-01-22,-8.191499,-15.028999,1.671,0.0,71.67943,7.5170207,0.9276387,34755.273,Aghdam district,2000,1,22
2000-01-23,-3.8415,-12.879,1.571,0.0,64.02244,7.5170207,0.89973193,34864.223,Aghdam district,2000,1,23
2000-01-24,-5.92275,-11.679,2.121,0.0,77.92214,6.9527545,0.9639116,34976.082,Aghdam district,2000,1,24
2000-01-25,-2.48525,-10.528999,7.3209996,0.0,70.393486,7.754637,1.1780759,35090.67,Aghdam district,2000,1,25
2000-01-26,0.11683351,-6.579,5.121,1.7000002,78.40353,8.217153,0.9388913,34980.027,Aghdam district,2000,1,26
2000-01-27,-0.9081667,-1.9289999,0.371,5.199999,92.62943,7.2,0.45521843,2384.1016,Aghdam district,2000,1,27
2000-01-28,-4.608167,-12.778999,0.77099997,0.0,84.511475,6.193674,0.68211645,21583.068,Aghdam district,2000,1,28
2000-01-29,-7.4373326,-13.8289995,1.421,0.0,74.31802,5.815978,1.0296022,35466.312,Aghdam district,2000,1,29
2000-01-30,-4.2665,-12.528999,6.3209996,0.0,67.20361,10.636766,1.2497431,35518.215,Aghdam district,2000,1,30
2000-01-31,-1.1644167,-8.179,9.821,0.0,67.659035,10.703569,1.4450953,35571.73,Aghdam district,2000,1,31
2000-02-01,-0.15191703,-7.579,8.9210005,0.0,68.550224,10.365251,1.3806951,33119.977,Aghdam district,2000,2,1
2000-02-02,-1.8331666,-8.179,5.921,0.4,77.942566,8.557102,1.2043089,35683.35,Aghdam district,2000,2,2
2000-02-03,-2.3769166,-9.929,6.871,0.0,70.28819,8.557102,1.34617,35741.32,Aghdam district,2000,2,3
2000-02-04,0.81475013,-7.379,11.271,0.0,64.050735,10.163227,1.6216438,35800.645,Aghdam district,2000,2,4
2000-02-05,1.6189166,-3.879,6.371,1.4000001,77.23798,6.924738,1.1394446,34657.16,Aghdam district,2000,2,5
2000-02-06,1.3355832,-0.67899996,4.021,1.5000002,89.2384,7.69592,0.7709471,18457.428,Aghdam district,2000,2,6
2000-02-07,-1.6248332,-10.778999,3.471,3.0999997,84.703766,8.4963045,0.9321019,24718.797,Aghdam district,2000,2,7
2000-02-08,-4.68525,-11.8289995,4.871,0.0,68.25049,7.172949,1.3703933,36000.0,Aghdam district,2000,2,8
2000-02-09,-2.3102498,-9.879,7.621,0.0,62.530064,8.557102,1.5693533,36000.0,Aghdam district,2000,2,9
2000-02-10,0.8585,-8.028999,12.121,0.0,63.429905,8.427383,1.7799011,36000.0,Aghdam district,2000,2,10
