date,temp_mean,temp_min,temp_max,precipitation,humidity_mean,wind_speed,et0,sunshine,region,year,month,day
2000-01-01,7.4356666,3.0565,14.4565,0.0,71.34127,7.5942073,1.1454874,30687.072,Goranboy district,2000,1,1
2000-01-02,8.154417,3.5565,16.1065,0.0,65.57353,7.289444,1.2453158,29805.332,Goranboy district,2000,1,2
2000-01-03,5.0815,3.0565,7.6565,0.1,88.68374,7.0911775,0.49853423,4971.3115,Goranboy district,2000,1,3
2000-01-04,5.577333,1.8065,8.856501,3.0000002,89.999054,10.1887,0.7528173,28800.0,Goranboy district,2000,1,4
2000-01-05,4.9044166,3.5565,5.9065,7.4000006,93.96827,12.599998,0.3596484,0.0,Goranboy district,2000,1,5
2000-01-06,4.127333,3.3565,5.5565,5.6,93.74964,12.387348,0.36473027,3820.0413,Goranboy district,2000,1,6
2000-01-07,4.9440002,1.6565,7.9564996,0.0,83.02973,9.107359,0.77485013,25597.732,Goranboy district,2000,1,7
2000-01-08,4.2148337,2.8065,6.0565,0.0,87.40107,9.360001,0.54110545,17499.754,Goranboy district,2000,1,8
2000-01-09,3.0773335,0.056500003,6.5565,0.0,84.49404,4.8965297,0.81984586,30413.982,Goranboy district,2000,1,9
2000-01-10,3.1814997,0.6065,6.6064997,0.0,76.290855,5.8048253,0.8929244,32816.062,Goranboy district,2000,1,10
2000-01-11,3.398167,1.1065,6.1064997,0.7,80.82047,6.151683,0.7168449,28051.73,Goranboy district,2000,1,11
2000-01-12,2.7481668,0.20650001,4.7565,1.1,85.32478,11.119281,0.606549,22270.506,Goranboy district,2000,1,12
2000-01-13,1.3419167,-1.6935,4.9065,0.0,77.80898,7.8954163,0.7600355,27743.709,Goranboy district,2000,1,13
2000-01-14,0.6481665,-3.2435,4.8065,0.0,75.74767,7.771331,0.84125215,29848.412,Goranboy district,2000,1,14
2000-01-15,0.56275004,-1.6935,3.0565,0.0,80.77843,6.9527545,0.6310719,21826.057,Goranboy district,2000,1,15
2000-01-16,-1.0601667,-7.0435004,2.8565,0.90000004,75.185905,6.849467,0.6398497,12896.779,Goranboy district,2000,1,16
2000-01-17,-2.8122501,-7.5435004,3.4065,0.0,62.994152,6.28713,1.0029309,34072.344,Goranboy district,2000,1,17
2000-01-18,-1.2539169,-6.3435,4.6064997,0.0,61.376724,6.830519,1.0164295,32760.695,Goranboy district,2000,1,18
2000-01-19,1.8710834,-3.2935,6.2565,0.0,61.15578,18.043148,1.2494074,34265.383,Goranboy district,2000,1,19
2000-01-20,2.1460834,-1.3435,6.6064997,0.3,72.23054,11.177405,1.0843538,34366.67,Goranboy district,2000,1,20
