date,temp_mean,temp_min,temp_max,precipitation,humidity_mean,wind_speed,et0,sunshine,region,year,month,day
2000-01-01,5.1688333,1.5979999,10.198,0.0,89.77493,7.928178,0.7476858,27195.855,Kurdamir district,2000,1,1
2000-01-02,6.1271667,3.198,11.148,0.0,88.5071,8.557102,0.8456704,27997.95,Kurdamir district,2000,1,2
2000-01-03,5.2063336,2.648,7.748,0.0,92.38229,5.4833565,0.42024848,4089.3108,Kurdamir district,2000,1,3
2000-01-04,6.4521675,3.348,8.798,5.7999997,90.00457,9.511088,0.38789585,0.0,Kurdamir district,2000,1,4
2000-01-05,5.941751,5.248,6.998,9.200002,95.11371,6.8777895,0.27974916,0.0,Kurdamir district,2000,1,5
2000-01-06,5.2417493,3.848,6.348,11.900001,94.106606,10.1376915,0.30001628,0.0,Kurdamir district,2000,1,6
2000-01-07,4.6959167,3.0479999,6.548,1.1,89.79623,10.739832,0.44990113,2873.3145,Kurdamir district,2000,1,7
2000-01-08,5.247999,3.348,7.798,0.0,82.71672,8.049845,0.5726228,7521.69,Kurdamir district,2000,1,8
2000-01-09,4.1438327,0.648,8.098,0.0,78.650604,7.10031,0.7960681,30362.176,Kurdamir district,2000,1,9
2000-01-10,4.0375834,1.048,7.298,0.0,84.91645,6.638072,0.49720857,11729.27,Kurdamir district,2000,1,10
2000-01-11,4.45425,2.2979999,7.348,0.0,88.55302,10.636766,0.48351416,8239.436,Kurdamir district,2000,1,11
2000-01-12,3.2375839,1.3479999,5.648,0.0,76.4393,8.942214,0.7230791,24396.39,Kurdamir district,2000,1,12
2000-01-13,2.4563332,-1.202,5.348,0.0,77.928535,5.3999996,0.6462047,23251.902,Kurdamir district,2000,1,13
2000-01-14,2.012583,-2.402,6.998,0.0,74.00518,7.2805495,0.9053568,30559.799,Kurdamir district,2000,1,14
2000-01-15,1.4334167,-3.002,5.248,2.3,80.03688,5.3999996,0.68767416,25569.941,Kurdamir district,2000,1,15
2000-01-16,0.45008326,-4.052,2.848,3.6,91.88604,8.049845,0.3724676,0.0,Kurdamir district,2000,1,16
2000-01-17,-1.0540835,-4.902,3.9980001,0.0,79.67024,8.049845,0.76788944,34096.0,Kurdamir district,2000,1,17
2000-01-18,0.04800005,-4.052,5.548,0.0,61.09372,10.390226,1.1029791,33148.637,Kurdamir district,2000,1,18
2000-01-19,3.950083,-3.052,10.848,0.0,53.84076,21.434364,1.524115,31687.604,Kurdamir district,2000,1,19
2000-01-20,4.0834165,-1.102,11.598,0.0,70.0873,12.864649,1.3159479,34434.645,Kurdamir district,2000,1,20
2000-01-21,0.88133335,-1.1520001,2.098,10.8,92.224754,7.386582,0.2512815,0.0,Kurdamir district,2000,1,21
2000-01-22,0.056333404,-4.902,4.798,0.0,67.73049,17.28,1.2617837,31017.625,Kurdamir district,2000,1,22
2000-01-23,-0.08741671,-6.052,5.198,0.0,65.7695,12.261157,1.1000115,32775.363,Kurdamir district,2000,1,23
2000-01-24,0.65633327,-4.152,6.198,0.0,67.795586,8.707237,1.1077249,34869.785,Kurdamir district,2000,1,24
2000-01-25,1.3605005,-3.802,7.898,0.0,69.32337,9.885262,1.2036518,34985.96,Kurdamir district,2000,1,25
2000-01-26,4.0396667,-1.002,10.748,1.5000001,74.91132,10.383987,1.1521451,33118.3,Kurdamir district,2000,1,26
2000-01-27,1.2938331,0.398,2.948,5.6,96.58258,6.5693827,0.29942995,0.0,Kurdamir district,2000,1,27
2000-01-28,0.7896667,-1.552,3.348,0.1,81.922554,6.792466,0.61464554,14264.423,Kurdamir district,2000,1,28
2000-01-29,-0.08950003,-3.652,4.748,0.0,66.1803,7.2359104,1.0822903,35474.793,Kurdamir district,2000,1,29
2000-01-30,0.35425007,-4.152,6.848,0.0,58.288055,10.8955765,1.3385696,35602.164,Kurdamir district,2000,1,30
2000-01-31,3.4896662,-1.802,10.848,0.0,53.857132,12.261158,1.7888459,35731.27,Kurdamir district,2000,1,31
2000-02-01,5.598,-0.102,11.798,0.0,52.05044,18.847641,2.0044672,32591.906,Kurdamir district,2000,2,1
2000-02-02,3.2834167,-1.702,9.648,0.1,71.64108,12.7279215,1.4307928,35929.9,Kurdamir district,2000,2,2
2000-02-03,2.4709167,-1.702,8.798,0.0,70.75772,10.805999,1.4010295,35957.145,Kurdamir district,2000,2,3
