date,temp_mean,temp_min,temp_max,precipitation,humidity_mean,wind_speed,et0,sunshine,region,year,month,day
2000-01-01,5.7934165,0.108,13.658,0.0,73.49588,5.6233797,1.1172523,30253.697,Tartar district,2000,1,1
2000-01-02,6.9184165,1.008,14.658,0.0,70.416084,4.6800003,1.1169342,29874.07,Tartar district,2000,1,2
2000-01-03,4.85175,2.258,7.6080003,0.0,80.30011,7.2359104,0.5277159,4405.8545,Tartar district,2000,1,3
2000-01-04,4.7288337,0.55799997,8.008,4.2000003,89.925224,7.342588,0.70588714,28638.54,Tartar district,2000,1,4
2000-01-05,3.9038327,2.958,5.0080004,5.799999,92.711426,9.255571,0.35406038,0.0,Tartar district,2000,1,5
2000-01-06,3.23925,2.208,4.658,4.8,93.07804,10.514218,0.32362953,1647.762,Tartar district,2000,1,6
2000-01-07,3.5496671,-0.792,7.408,0.4,86.34751,8.766573,0.7686317,26841.07,Tartar district,2000,1,7
2000-01-08,3.13925,1.358,5.158,0.0,90.059654,7.7043357,0.5174898,17279.303,Tartar district,2000,1,8
2000-01-09,2.32675,-1.292,5.958,0.0,81.71139,5.0142193,0.79755765,30343.07,Tartar district,2000,1,9
2000-01-10,1.3371668,-3.042,6.408,0.0,79.529755,6.1305785,0.9044281,32867.492,Tartar district,2000,1,10
2000-01-11,2.0309167,-2.092,5.158,2.9,86.23942,6.6185193,0.64378625,22984.232,Tartar district,2000,1,11
2000-01-12,1.8725834,-0.192,3.858,1.3000001,86.87817,11.384198,0.591072,21918.22,Tartar district,2000,1,12
2000-01-13,1.0100833,-1.9920001,4.158,0.0,72.20496,7.4128532,0.77533317,25595.395,Tartar district,2000,1,13
2000-01-14,0.4455,-4.3919997,4.158,0.0,70.62847,6.8777895,0.85368437,28904.523,Tartar district,2000,1,14
2000-01-15,0.45591676,-1.042,2.408,0.2,79.72776,5.0911684,0.5823249,11010.744,Tartar district,2000,1,15
2000-01-16,-1.8753333,-8.792,1.708,1.1,83.88997,7.5599995,0.4995937,0.0,Tartar district,2000,1,16
2000-01-17,-4.32325,-9.191999,3.358,0.0,67.66026,9.007196,0.9837889,34166.117,Tartar district,2000,1,17
2000-01-18,-2.6190832,-9.592,5.408,0.0,60.791492,7.754637,1.0410105,33865.742,Tartar district,2000,1,18
2000-01-19,0.3434169,-6.7419996,7.7580004,0.0,62.351986,14.291592,1.2117772,34357.02,Tartar district,2000,1,19
2000-01-20,0.5142501,-3.342,6.658,0.0,71.9328,7.9932976,1.0879673,34457.195,Tartar district,2000,1,20
2000-01-21,0.058000028,-3.8420002,4.6080003,4.5999994,59.22882,11.592894,0.90222937,10379.977,Tartar district,2000,1,21
2000-01-22,-1.7732497,-6.1419997,4.558,0.0,55.0103,7.289445,1.2091337,34667.902,Tartar district,2000,1,22
2000-01-23,-0.33991668,-5.592,4.208,0.0,53.494556,12.88981,1.1009728,34417.55,Tartar district,2000,1,23
2000-01-24,-1.0107499,-5.6419997,5.208,0.0,65.29604,7.5170207,1.129245,34891.14,Tartar district,2000,1,24
2000-01-25,1.4163337,-4.442,9.358,0.0,63.904816,7.6367526,1.3485241,35007.0,Tartar district,2000,1,25
2000-01-26,2.5996666,-2.1920002,7.058,1.1,74.40766,9.983106,1.0039274,32332.969,Tartar district,2000,1,26
2000-01-27,0.10174998,-2.092,1.5079999,4.1,90.266,8.699793,0.4480651,1774.1416,Tartar district,2000,1,27
2000-01-28,-2.0295,-5.292,2.358,0.0,70.60047,6.696387,0.7351874,24787.611,Tartar district,2000,1,28
2000-01-29,-2.3690832,-6.7419996,3.5579998,0.0,63.097065,6.12,1.1682063,35429.61,Tartar district,2000,1,29
2000-01-30,-0.54199976,-6.842,7.8580003,0.0,59.20255,8.287822,1.4365158,35482.195,Tartar district,2000,1,30
2000-01-31,2.3955007,-3.592,11.458,0.0,58.94118,9.028754,1.7033087,35536.4,Tartar district,2000,1,31
2000-02-01,3.2121665,-2.042,10.858,0.0,60.640797,12.397806,1.7314061,32478.611,Tartar district,2000,2,1
2000-02-02,1.4705001,-3.592,8.358,0.1,64.76032,8.4042845,1.4599437,35649.414,Tartar district,2000,2,2
2000-02-03,0.8559167,-4.2419996,8.058,0.0,61.4705,7.342588,1.469962,35708.086,Tartar district,2000,2,3
2000-02-04,3.8600836,-2.1920002,12.908,0.0,57.752453,9.028754,1.8583184,35768.117,Tartar district,2000,2,4
2000-02-05,3.1205006,-1.042,7.558,1.5000001,71.6209,6.379216,1.1720259,34125.41,Tartar district,2000,2,5
2000-02-06,3.0163336,0.25800002,6.2580004,0.90000004,72.60261,12.10157,1.1622934,22960.4,Tartar district,2000,2,6
2000-02-07,1.6038333,-4.442,7.1080003,1.3000001,55.30641,8.854829,1.2896879,25369.113,Tartar district,2000,2,7
2000-02-08,0.03300007,-5.692,7.0080004,0.0,55.54832,5.6920996,1.5019759,36000.0,Tartar district,2000,2,8
2000-02-09,1.6600834,-3.792,9.258,0.0,57.18221,6.8399997,1.6653036,36000.0,Tartar district,2000,2,9
2000-02-10,4.293417,-2.342,13.708,0.0,56.840786,7.2359104,1.9139415,36000.0,Tartar district,2000,2,10
2000-02-11,4.73925,-1.342,13.258,0.0,57.41333,7.5942073,1.8656917,36000.0,Tartar district,2000,2,11
2000-02-12,4.866333,-1.342,12.308001,0.0,56.40041,7.928178,1.977586,36000.0,Tartar district,2000,2,12
2000-02-13,2.3580003,-1.392,6.808,0.0,80.37867,6.12,1.128691,34374.766,Tartar district,2000,2,13
2000-02-14,2.4017498,-0.84199995,5.958,1.8000001,85.779785,9.19939,0.81499785,10482.773,Tartar district,2000,2,14
2000-02-15,2.205917,-2.642,7.958,0.0,79.431725,5.7599998,1.3770235,36000.0,Tartar district,2000,2,15
2000-02-16,4.4288335,-1.4419999,10.858,0.0,74.83871,5.5887027,1.709427,32333.547,Tartar district,2000,2,16
2000-02-17,5.522583,-0.542,10.908,1.5000001,79.21702,8.435069,1.3751326,25878.027,Tartar district,2000,2,17
2000-02-18,5.3767495,-0.39200002,11.558001,0.0,81.31971,8.350138,1.5806674,36178.188,Tartar district,2000,2,18
2000-02-19,4.4955,-0.942,9.358,0.0,83.83919,8.699793,1.3454866,36000.0,Tartar district,2000,2,19
2000-02-20,4.3455,-0.192,8.558001,0.6,77.78666,10.990322,0.9519046,5109.008,Tartar district,2000,2,20
2000-02-21,4.7455,-1.792,12.208,0.0,73.75314,8.350138,1.9297338,36690.418,Tartar district,2000,2,21
2000-02-22,5.5850835,-1.092,13.508,0.0,67.66842,7.342588,2.0426993,36963.87,Tartar district,2000,2,22
2000-02-23,8.070499,0.108,15.458,0.0,64.72725,10.296251,2.325081,36955.33,Tartar district,2000,2,23
2000-02-24,4.31425,1.658,6.158,3.5999994,91.5814,11.966954,0.5797255,3059.7466,Tartar district,2000,2,24
2000-02-25,2.08925,0.858,3.858,3.6000001,89.63558,10.195057,0.68395233,9735.559,Tartar district,2000,2,25
2000-02-26,3.3350837,0.658,6.658,0.2,73.33422,6.3690495,1.3210572,34744.586,Tartar district,2000,2,26
2000-02-27,4.1225834,-2.1920002,8.608,0.0,55.094997,16.09969,2.2243755,36318.164,Tartar district,2000,2,27
2000-02-28,3.2454998,0.408,6.808,1.9000002,59.32938,12.24,1.5356742,24642.357,Tartar district,2000,2,28
2000-02-29,1.1205001,-1.292,3.708,0.0,70.86144,15.379206,1.154617,26881.666,Tartar district,2000,2,29
2000-03-01,1.3705,-3.792,5.808,0.0,69.11202,6.28713,1.6549788,36382.066,Tartar district,2000,3,1
2000-03-02,1.1975834,-3.142,4.558,3.1,79.84351,7.2,0.79846746,3040.6604,Tartar district,2000,3,2
2000-03-03,2.8600833,-3.142,9.608,0.0,61.18249,8.654987,2.2578518,39347.164,Tartar district,2000,3,3
2000-03-04,4.872584,-0.942,10.708,0.0,67.76948,4.0249224,2.1131117,36862.324,Tartar district,2000,3,4
2000-03-05,6.464249,-0.24199998,13.958,0.0,67.375786,7.42159,2.4166496,39687.785,Tartar district,2000,3,5
2000-03-06,7.7288337,0.358,15.258,0.0,67.143715,8.350138,2.5729077,40924.59,Tartar district,2000,3,6
2000-03-07,7.9371667,2.508,13.858,1.4000001,67.840805,13.783817,2.1555843,34840.56,Tartar district,2000,3,7
