date,temp_mean,temp_min,temp_max,precipitation,humidity_mean,wind_speed,et0,sunshine,region,year,month,day
2000-01-01,7.0013328,1.9305,14.4305,0.0,78.91964,8.404285,1.1500827,28734.318,Yevlakh district,2000,1,1
2000-01-02,7.2929997,2.0805,15.2305,0.0,76.33523,9.957108,1.188734,28514.031,Yevlakh district,2000,1,2
2000-01-03,5.0805,2.2805,7.5805,0.1,95.36841,9.793059,0.4107523,1611.3867,Yevlakh district,2000,1,3
2000-01-04,5.832583,1.6305,9.2805,3.8000002,92.312126,7.491114,0.65437603,26721.336,Yevlakh district,2000,1,4
2000-01-05,5.488833,3.5305,6.3805003,9.6,93.5332,10.086427,0.32913753,0.0,Yevlakh district,2000,1,5
2000-01-06,4.93675,3.7305,6.2305,7.0000005,92.24216,11.298495,0.3293582,0.0,Yevlakh district,2000,1,6
2000-01-07,5.4846663,1.9305,8.580501,0.0,82.41617,9.028754,0.73688334,17367.969,Yevlakh district,2000,1,7
2000-01-08,5.1492505,2.6305,7.1305003,0.0,81.51347,8.714677,0.53201663,4797.6714,Yevlakh district,2000,1,8
2000-01-09,3.722167,0.6805,7.8305,0.0,83.55096,6.130579,0.80479836,29345.73,Yevlakh district,2000,1,9
2000-01-10,3.678417,-0.16950001,7.8805003,0.0,79.19973,7.6367526,0.9039671,32503.613,Yevlakh district,2000,1,10
2000-01-11,4.48675,1.7305,7.6805,1.2000002,81.6201,7.491114,0.7135055,26467.975,Yevlakh district,2000,1,11
2000-01-12,3.526333,0.5305,5.8805003,0.2,80.03741,11.923557,0.65211624,25512.809,Yevlakh district,2000,1,12
2000-01-13,2.807583,-0.3195,6.3305,0.0,73.08709,7.289444,0.7590162,26958.373,Yevlakh district,2000,1,13
2000-01-14,2.4367502,-0.5195,6.2805004,0.0,73.024864,6.489992,0.89159566,29506.14,Yevlakh district,2000,1,14
2000-01-15,2.4555,0.0805,4.6805,0.0,69.756874,6.130579,0.64339,19491.953,Yevlakh district,2000,1,15
2000-01-16,-0.14866662,-5.5695,4.2305,0.3,80.143776,8.287822,0.62738556,11463.855,Yevlakh district,2000,1,16
2000-01-17,-1.7653332,-5.7194996,4.6805,0.0,68.667435,8.557102,0.98809755,33066.688,Yevlakh district,2000,1,17
2000-01-18,-1.0736665,-5.4694996,5.6305003,0.0,67.44295,7.172949,0.9963405,33114.7,Yevlakh district,2000,1,18
2000-01-19,2.5096667,-4.6194997,7.5805,0.0,60.84241,24.627789,1.4032993,31699.227,Yevlakh district,2000,1,19
2000-01-20,2.9680002,-1.9195,8.4305,0.0,72.561134,12.783802,1.2007728,34366.67,Yevlakh district,2000,1,20
2000-01-21,2.5138335,-2.6695,6.4305,2.5,54.668457,19.64228,1.2859423,6316.176,Yevlakh district,2000,1,21
2000-01-22,0.5700834,-4.4694996,6.2305,0.0,53.9382,14.693999,1.4468997,34579.715,Yevlakh district,2000,1,22
2000-01-23,1.2680001,-2.1195,5.1805,0.0,54.228054,21.67786,1.3272837,33081.977,Yevlakh district,2000,1,23
2000-01-24,1.8888334,-3.2195,7.0305004,0.0,58.36952,9.531505,1.2383324,34805.414,Yevlakh district,2000,1,24
2000-01-25,2.4534166,-3.5695,9.9805,0.0,64.92988,8.64,1.3778578,34922.543,Yevlakh district,2000,1,25
2000-01-26,3.6492498,-2.1195,8.4805,1.3,74.21685,13.207634,0.9853546,31442.281,Yevlakh district,2000,1,26
2000-01-27,1.5075833,0.88049996,2.4805,5.5999994,92.24059,11.440978,0.37799194,0.0,Yevlakh district,2000,1,27
2000-01-28,1.0596666,-1.7695,4.8805003,0.0,57.597355,9.504273,0.93344283,30451.877,Yevlakh district,2000,1,28
2000-01-29,-0.11116671,-4.1695,5.0805,0.0,58.297726,7.289444,1.2664771,35415.37,Yevlakh district,2000,1,29
