date,temperature_2m_max,precipitation_sum,relative_humidity_2m_mean,wind_speed_10m_max,sunshine_duration,temperature_2m_mean,soil_moisture_0_to_7cm_mean,soil_temperature_0_to_7cm_mean,et0_fao_evapotranspiration_sum
2016-01-06 00:00:00+00:00,5.11,0.4,66.693954,10.483357,30802.436,-0.46916685,0.46249995,-0.82958347,1.0279069
2016-01-07 00:00:00+00:00,6.51,0.0,68.15058,8.209263,21922.49,1.9433336,0.46958327,-0.7233331,0.8212797
2016-01-08 00:00:00+00:00,10.06,2.5,78.31443,8.28,13019.048,4.8079166,0.48054168,-0.5149999,0.82299656
2016-01-09 00:00:00+00:00,5.46,0.0,65.868675,11.720751,29954.088,3.1558335,0.48208332,-0.35250005,1.0242653
2016-01-10 00:00:00+00:00,4.26,0.0,60.682293,7.9036193,31360.373,-0.41708326,0.4776667,-0.4941665,0.9343854
2016-01-11 00:00:00+00:00,7.5600004,0.0,58.477528,9.0645685,30588.617,2.8516672,0.48004165,-0.5024998,1.0760524
2016-01-12 00:00:00+00:00,8.51,0.0,65.14953,7.5942082,29606.578,3.5079167,0.48308334,-0.4712499,0.9749556
2016-01-13 00:00:00+00:00,10.96,0.0,58.201065,11.090103,30491.598,4.993333,0.48612502,-0.4899998,1.426941
2016-01-14 00:00:00+00:00,12.21,9.799999,63.07524,10.24578,21979.97,7.7995834,0.46600005,-0.43166664,1.0795903
2016-01-15 00:00:00+00:00,4.11,13.4,91.14065,10.587917,15443.889,0.36208346,0.5062916,-0.1795833,0.48364502
2016-01-16 00:00:00+00:00,4.51,0.0,60.087414,5.00128,32457.883,-0.6795833,0.4937917,-0.4795833,0.92126536
2016-01-17 00:00:00+00:00,8.06,0.0,50.773266,6.1094027,32414.775,2.7766666,0.49308336,-0.69833326,1.2303362
2016-01-18 00:00:00+00:00,12.76,1.1,46.413563,7.42159,31065.043,6.664166,0.49370837,-0.7816667,1.6143149
2016-01-19 00:00:00+00:00,10.21,6.6,63.872234,7.289445,33924.965,5.2829165,0.46666667,-0.6129166,0.94650406
2016-01-20 00:00:00+00:00,4.16,6.599999,62.1503,11.720751,33362.035,2.2766666,0.47704172,-0.69416666,1.0778606
2016-01-21 00:00:00+00:00,3.9099998,0.0,60.232086,6.4799995,33761.844,0.88291675,0.48291662,-0.97958344,0.89132285
2016-01-22 00:00:00+00:00,7.3599997,0.0,53.4964,8.557102,33455.492,1.3891667,0.48154163,-1.0649999,1.2277864
2016-01-23 00:00:00+00:00,8.01,2.6,58.998188,9.255571,30107.94,3.4495838,0.484375,-1.0441668,1.211145
2016-01-24 00:00:00+00:00,2.01,19.300001,92.53296,6.638072,603.95233,0.2516667,0.50058335,-0.80041665,0.32571813
2016-01-25 00:00:00+00:00,-1.0899999,18.2,94.321465,6.489992,0.0,-2.2462502,0.48916662,-0.6879167,0.30632055
2016-01-26 00:00:00+00:00,-3.1399999,4.5999994,86.13385,6.849467,13809.874,-5.119167,0.48091665,-0.5920834,0.54478306
2016-01-27 00:00:00+00:00,-2.59,0.1,66.58168,6.763786,34874.117,-5.7379165,0.47650006,-0.7274998,0.85621774
2016-01-28 00:00:00+00:00,-1.39,0.0,59.22169,11.212135,32340.62,-3.7545831,0.47304174,-0.79000014,0.8856222
2016-01-29 00:00:00+00:00,2.1100001,0.0,56.29329,9.007196,35134.082,-0.87541646,0.47066668,-0.81291676,1.1238675
2016-01-30 00:00:00+00:00,3.6100001,0.0,69.20435,6.193674,30948.527,1.5808336,0.475625,-0.7524999,0.7998126
2016-01-31 00:00:00+00:00,4.51,0.0,64.94378,6.9527545,35263.758,-0.21708317,0.47991666,-0.6775,1.153642
2016-02-01 00:00:00+00:00,7.8599997,0.0,62.985844,7.9526596,35321.984,0.5829167,0.48325,-0.74416655,1.3407222
2016-02-02 00:00:00+00:00,7.0600004,0.2,68.43772,11.525623,27212.635,2.1537497,0.48554167,-0.7504165,1.0779616
2016-02-03 00:00:00+00:00,3.46,0.0,60.35174,9.021574,35442.73,0.76000005,0.4852083,-0.8045834,1.1521145
